subject,date_time,ip,Qplace_1_age,Qreponse_1_age,Qplace_2_sex,Qreponse_2_sex,Qplace_25_NativeLang,Qreponse_25_NativeLang,Qplace_20_turk,Qreponse_20_turk,Qrt,Iid,Iname,Ireponse,Irt,Iplace,Gid,Gname,Gplace,Bid,Bname,Bplace
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103613,I,0.004,11.223,1,85092,DE-F-O-2-N-U,1,6605,training,1
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103614,I,0.602,5.449,1,85093,UE-P-O-3-N-U,2,6605,training,1
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103612,I,0.97,2.477,1,85091,UE-E-O-1-N-U,3,6605,training,1
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103682,I,0.322,5.711,1,85161,UE-M-O-4-T-D,1,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103756,I,0.946,6.354,1,85235,UE-P-P-6-T-U,2,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103629,I,0.236,7.986,1,85108,DE-F-N-3-T-U,3,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103649,I,0.26,10.669,1,85128,NM-On-N-3-T-D,4,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103715,I,0.96,5.163,1,85194,UE-P-O-5-T-U,5,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103719,I,0.344,4.539,1,85198,UE-E-P-9-T-D,6,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103620,I,0.326,12.001,1,85099,NM-Ex-N-10-T-U,7,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103659,I,0.954,4.179,1,85138,UE-E-O-5-T-U,8,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103718,I,0.846,11.364,1,85197,UE-P-O-4-T-U,9,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103693,I,0.206,5.727,1,85172,DE-N-O-7-T-U,10,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103669,I,0.338,7.475,1,85148,NM-Ex-O-7-T-U,11,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103711,I,0.278,8.083,1,85190,UE-P-O-5-T-D,12,6606,target,2
7512,2013-02-20_22:31:34,24.20.13.80,1,1986,2,Man,3,English,4,R9ZHXQDP,69.529,103670,I,0.33,6.686,1,85149,NM-Ex-O-4-T-U,13,6606,target,2
