"","subject","date_time","ip","Qplace_1_age","Qreponse_1_age","Qplace_2_sex","Qreponse_2_sex","Qplace_25_NativeLang","Qreponse_25_NativeLang","Qplace_20_turk","Qreponse_20_turk","Qrt","Iid","Iname","Ireponse","Irt","Iplace","Gid","Gname","Gplace","Bid","Bname","Bplace","X","expt"
"1","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111098","I","0.012","8.583","1","92173","DE-F-O-2-N-U","1","6786","training","1",NA,"265"
"2","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111097","I","0.914","5.476","1","92172","UE-E-O-1-N-U","2","6786","training","1",NA,"265"
"3","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111099","I","0.404","6.176","1","92174","UE-P-O-3-N-U","3","6786","training","1",NA,"265"
"4","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111220","I","0.064","6.966","1","92295","UE-P-P-7-T-D","1","6787","target","2",NA,"265"
"5","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111210","I","1","6.222","1","92285","UE-P-P-6-T-U","2","6787","target","2",NA,"265"
"6","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111213","I","0.228","4.181","1","92288","DE-N-N-6-T-U","3","6787","target","2",NA,"265"
"7","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111161","I","0.03","8.359","1","92236","UE-E-O-4-T-D","4","6787","target","2",NA,"265"
"8","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111160","I","0.024","5.477","1","92235","UE-P-P-4-T-D","5","6787","target","2",NA,"265"
"9","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111132","I","0.964","5.377","1","92207","UE-M-P-2-T-U","6","6787","target","2",NA,"265"
"10","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111239","I","0.13","14.909","1","92314","DD-Ew-N-7-T-U","7","6787","target","2",NA,"265"
"11","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111203","I","1","4.384","1","92278","DE-N-N-6-T-D","8","6787","target","2",NA,"265"
"12","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111261","I","0.166","3.731","1","92336","UE-E-O-9-T-D","9","6787","target","2",NA,"265"
"13","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111212","I","1","5.721","1","92287","UE-M-P-6-T-U","10","6787","target","2",NA,"265"
"14","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111138","I","0.084","6.515","1","92213","DD-Nw-O-2-T-U","11","6787","target","2",NA,"265"
"15","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111131","I","1","6.187","1","92206","UE-E-O-2-T-U","12","6787","target","2",NA,"265"
"16","7896","2013-03-04_01:07:15","67.197.60.123","1","1977","2","Woman","3","English","4","NRN7KMJF","38.419","111185","I","0.324","5.816","1","92260","DE-F-N-5-T-D","13","6787","target","2",NA,"265"
